content,category
"Request for Course Syllabus: Could you please send me the updated syllabus for COMP101? I need to plan my study schedule.",student
"Midterm Exam Date Inquiry: When is the midterm exam for PHYS202 scheduled? I have a conflicting appointment and may need to reschedule.",student
"Assignment Extension Request: Due to a family emergency, I'm unable to complete the essay on time. Could I get a 3-day extension?",student
"Library Access Issues: I'm having trouble accessing the online library resources. Could you please help me resolve this?",student
"Grade Appeal Process: What's the procedure for appealing a grade? I believe there's an error in my MATH301 final score.",student
"Study Group Formation: I'd like to form a study group for CHEM202. Can you recommend a good way to find interested classmates?",student
"Scholarship Application Deadline: When is the deadline for submitting scholarship applications? I want to ensure I don't miss it.",student
"Textbook Availability: Is the required textbook for ECON101 available in the campus bookstore? If not, where can I purchase it?",student
"Career Counseling Appointment: How can I schedule an appointment with a career counselor? I need guidance on my major selection.",student
"Dormitory Maintenance Request: The heating in my dorm room isn't working properly. Who should I contact to get this fixed?",student
"Class Registration Issues: I'm unable to register for BIOL303 due to a system error. Can you help me resolve this?",student
"Internship Credit Inquiry: Can I receive course credit for my summer internship? What's the process for applying?",student
"Academic Probation Concern: I'm worried about being placed on academic probation. What GPA do I need to maintain to avoid this?",student
"Lab Safety Training Schedule: When is the next lab safety training session? I need to complete it before starting my research project.",student
"Graduation Application Process: Could you provide information on the graduation application process and deadlines?",student
"Study Abroad Program Query: I'm interested in studying abroad next semester. What programs are available for computer science majors?",student
"Tutoring Services Information: Are there free tutoring services available for calculus? If so, how can I sign up?",student
"Transcript Request Procedure: What's the process for requesting an official transcript? I need one for a scholarship application.",student
"Course Withdrawal Deadline: When is the last day to withdraw from a course without it affecting my GPA?",student
"Financial Aid Status: I haven't received my financial aid disbursement yet. Who should I contact to check on its status?",student
"Club Membership Process: How can I join the Environmental Club? Are there any prerequisites or membership fees?",student
"Academic Advisor Meeting: I need to meet with my academic advisor to discuss my course schedule. How do I set up an appointment?",student
"Exam Rescheduling Request: I have two final exams scheduled at the same time. What's the procedure for rescheduling one of them?",student
"Campus Wi-Fi Issues: The Wi-Fi in the library has been unreliable lately. Who should I report this to?",student
"Lost Student ID Replacement: I've lost my student ID card. What's the process for getting a replacement?",student
"Research Assistant Opportunity: Are there any research assistant positions available in the psychology department for undergraduates?",student
"Parking Permit Application: How do I apply for a student parking permit? Are there any spaces still available for this semester?",student
"Disability Accommodation Request: I need accommodations for my upcoming exams due to my disability. What documentation do I need to provide?",student
"Course Prerequisite Override: Can I get an override for the prerequisite for CSCI401? I have equivalent experience from my internship.",student
"Gym Membership Query: How much does a student gym membership cost? Are there any discounts available?",student
"Student Health Insurance: Where can I find information about the student health insurance plan? Is enrollment automatic?",student
"Dean's List Criteria: What GPA do I need to achieve to make the Dean's List this semester?",student
"Language Placement Test: When and where are the language placement tests held? I need to take one for Spanish.",student
"On-Campus Job Opportunities: Are there any on-campus job opportunities available? How do I apply for them?",student
"Course Audit Process: What's the process for auditing a course? Do I need instructor permission?",student
"Commencement Ceremony Details: When and where will the commencement ceremony be held this year? Do I need to register for it?",student
"Major Declaration Procedure: I want to declare my major in psychology. What forms do I need to fill out?",student
"Intramural Sports Registration: How do I register for intramural basketball? When does the season start?",student
"Library Book Renewal: Can I renew my library books online? What's the maximum number of renewals allowed?",student
"Mental Health Services: Does the university offer free counseling services? How can I schedule an appointment?",student
"Honors Program Application: What are the requirements for joining the Honors Program? Is there an application deadline?",student
"Student Loan Repayment Info: When do I need to start repaying my student loans? Where can I find more information about this?",student
"Campus Security Escort: Does campus security offer escort services for students walking late at night?",student
"Meal Plan Changes: How can I upgrade my meal plan? I've run out of meal swipes this month.",student
"Printer Credit Purchase: Where can I purchase additional printer credits? My account balance is low.",student
"International Student Services: I'm having issues with my visa. Who in the International Student Office should I speak with?",student
"Classroom Technology Support: The projector in room 301 isn't working. Who should I contact for immediate assistance?",student
"Student Government Elections: When are the student government elections held? How can I run for a position?",student
"Plagiarism Workshop Schedule: Are there any upcoming workshops on avoiding plagiarism? I want to improve my citation skills.",student
"Campus Recycling Program: How can I get involved with the campus recycling program? Are there volunteer opportunities?",student
"Textbook Buyback Program: When does the bookstore's textbook buyback program start? What prices can I expect?",student
"Capstone Project Guidelines: Where can I find the guidelines for the senior capstone project? Is there a template available?",student
"Student Discount Information: Do you have a list of local businesses that offer student discounts?",student
"Computer Lab Hours: What are the operating hours for the computer lab in the engineering building?",student
"Graduation Regalia Order: How and when do I order my cap and gown for graduation? Is there a deadline?",student
"Change of Address Procedure: I've moved off-campus. How do I update my mailing address in the university system?",student
"Internship Fair Date: When is the next internship fair? Will there be companies from the biotech industry?",student
"Exam Proctoring Services: I'm taking an online course that requires a proctored exam. Does the university offer this service?",student
"Student Emergency Fund: I'm facing unexpected financial hardship. Does the university have an emergency fund for students?",student
"Writing Center Appointments: How do I schedule an appointment with the Writing Center? Do they offer online sessions?",student
"Course Waitlist Procedure: I'm on the waitlist for PSYCH202. How will I know if a spot opens up?",student
"Alumni Mentorship Program: Is there an alumni mentorship program for current students? How can I get involved?",student
"Bicycle Registration Process: How do I register my bicycle with campus security? Is there a fee for this service?",student
"Academic Calendar Request: Where can I find the academic calendar for next year? I need to plan my summer internship.",student
"Canvas Login Issues: I'm unable to log into Canvas. Who should I contact for technical support?",student
"Study Room Reservations: How can I reserve a study room in the library? Is there a time limit?",student
"Missed Exam Policy: I missed my midterm due to illness. What's the policy for making up missed exams?",student
"Diversity and Inclusion Events: Are there any upcoming events focused on diversity and inclusion on campus?",student
"Student ID Photo Retake: I don't like my student ID photo. Is it possible to have it retaken?",student
"Undergraduate Research Symposium: When is the undergraduate research symposium? How do I submit my project for consideration?",student
"Campus Sustainability Initiatives: What sustainability initiatives is the university currently working on? How can students get involved?",student
"Transfer Credit Evaluation: I'm a transfer student. When will my credits from my previous institution be evaluated?",student
"Degree Audit Request: How do I request a degree audit to check my progress towards graduation?",student
"Student Org Funding Request: Our student organization needs funding for an event. What's the process for requesting funds?",student
"Career Fair Preparation: Are there any workshops to help prepare for the upcoming career fair?",student
"Residential Assistant Application: I'm interested in becoming a Residential Assistant next year. When do applications open?",student
"Campus Bookstore Hours: What are the operating hours of the campus bookstore during finals week?",student
"Overnight Guest Policy: What's the policy on overnight guests in the dorms? Do I need to register them?",student
"Software License Access: How can I access the free software licenses provided by the university?",student
"Student Newspaper Submission: I'd like to submit an article to the student newspaper. Who should I contact?",student
"Peer Tutoring Opportunities: How can I become a peer tutor? Are there specific GPA requirements?",student
"Campus Art Gallery Exhibitions: What exhibitions are currently on display in the campus art gallery?",student
"Interlibrary Loan Request: How do I request a book through interlibrary loan? How long does the process usually take?",student
"Graduate School Application Workshop: Are there any workshops on applying to graduate school? I need help with my personal statement.",student
"Campus Farm Volunteer Opportunities: How can I volunteer at the campus farm? Do I need any prior experience?",student
"Student Feedback Survey: When will the end-of-semester student feedback surveys be available? Are they anonymous?",student
